时间,侧别,模块,任务内容,产出/验收
第1天,ROS,协议接入,"扩展 websocket 导航控制透传字段；支持 route_waypoints、waypoint_role、target_waypoint_id","新协议字段能进入 ROS"
第1天,APP,任务模型,"路线点位模型增加 waypoint_role；支持 task/transit 配置","APP 具备点位类型配置能力"
第2天,ROS,状态骨架,"navigation_state_manager 增加 route_task、master_route_task_ids、active_segment 骨架","ROS 内可持有完整任务对象"
第2天,APP,事件接收,"支持接收 broadcast_requested、waypoint_passed、jump_updated 假事件并解析","APP 可识别核心状态事件"
第2天,联调,协议联通,"打通命令和假推送","协议联通完成"
第3天,ROS,正常任务,"实现主任务序列加载与相邻任务点之间辅助点自动吸收","正常任务可开始执行"
第3天,APP,播报联动,"broadcast_id 绑定本地播报资源","可按播报 ID 启动播放器"
第4天,ROS,播报等待,"到任务点进入 WAITING_BROADCAST；收 broadcast_finished 后继续","ROS 播报闭环完成"
第4天,APP,UI状态,"增加等待播报、正在播报、当前目标任务点状态展示","APP 状态闭环完成"
第4天,联调,正常闭环,"验证 10(task)->11(transit)->12(transit)->13(task)","辅助点 through、生效无播报"
第5天,ROS,跳步主逻辑,"实现 jump_to_waypoint；支持前跳/后跳；直接切目标任务点","任意跳步逻辑可运行"
第5天,APP,跳步入口,"增加跳步按钮；跳步目标只允许选择 task 点","APP 可发跳步"
第6天,ROS,辅助点吸收,"跳步时自动收集当前点与目标点之间的中间 transit 点并重建 active_segment","跳步执行段重建生效"
第6天,APP,跳步状态,"收到 jump_updated 后刷新当前目标点和执行段展示","UI 可展示跳步结果"
第6天,联调,任意跳步,"验证 A->D、D->B、G->C","中间任务点不执行，中间辅助点自动吸收"
第7天,ROS,丝滑执行,"接入 NavigateThroughPoses；辅助点按 through poses 执行","第一版丝滑执行可跑"
第7天,APP,路线展示,"区分任务点、辅助点、当前目标点、本次吸收辅助点","路线 UI 完整"
第8天,ROS,事件细化,"推送 waypoint_passed、broadcast_requested、jump_updated、task_waypoint_completed","事件语义清晰"
第8天,APP,体验优化,"优化跳步路线展示、播报等待态、状态文案","APP 体验可演示"
第8天,联调,丝滑联调,"重点验证辅助点不播报、不停顿、目标点正常停靠","丝滑版本初步通过"
第9天,ROS,异常保护,"播报超时、重复命令、旧任务保护、跳步打断播报保护","基础防呆完成"
第9天,APP,防护恢复,"过期事件忽略、重复跳步节流、资源缺失兜底、本地状态重置","APP 防护完成"
第10天,ROS,验收准备,"日志、调试输出、测试脚本","可回归、可演示"
第10天,APP,验收准备,"调试页面与任务状态展示完善","可回归、可演示"
第10天,联调,全量回归,"正常路线、播报、跳步、异常场景回归","第一版联调版本完成"
第11-12天,ROS,稳定性,"子路线失败恢复、WAITING_BROADCAST 与跳步并发保护、状态快照","稳定性提升"
第11-12天,APP,恢复能力,"断线重连恢复任务显示、播报中断后状态收敛","稳定性提升"
第13-14天,ROS,实机调优,"NavigateThroughPoses、最终停靠姿态、窄门与连续辅助点调参","实机体验优化"
第13-14天,APP,体验优化,"跳步确认、辅助点提示、点位配置页易用性优化","体验优化"
第15天,双侧,现场回归,"全量回归与问题收尾","稳定版本输出"
